,2.7
"""BLOW THE NIGHT!"" Let's Spend the Night Together",2.0
"""Great Performances"" Cats",2.9
"""Sr.""",3.2
#1 Cheerleader Camp,2.2
#387,0
#Alive,3.3
#AnneFrank. Parallel Stories,2.6
#Captured,2.2
#Female Pleasure,3.9
#FollowMe,2.0
#FriendButMarried,0.8
#FriendButMarried 2,1.0
#FromJennifer,0
#Horror,2.1
#Iamhere,3.1
#Introductions,2.0
#Lucky Number,1.8
#MenToo,4.5
#Roxy,0.8
#SCREAMERS,2.5
#Selfie69,2.5
#SquadGoals,1.0
#Stuck,2.2
#UNFIT: The Psychology of Donald Trump,3.0
#Unknown,2.0
#Xmas,0.8
#cats_the_mewvie,1.9
#realityhigh,3.0
$ (Dollars),2.8
"$1,000 on the Black",3.3
"$100,000 for Ringo",2.5
$5 a Day,2.9
$50K and a Call Girl: A Love Story,3.8
$9.99,3.2
$ellebrity (Sellebrity),2.7
$uperthief: Inside America's Biggest Bank Score,5.0
'49-'17,2.6
'63 Boycott,2.5
'68,1.5
'71,3.7
'77,3.3
'77 No Commercial Use,1.0
'83,3.7
'85: The Greatest Team in Pro Football History,2.2
'A Santanotte,0.5
'Gator Bait,3.0
'Hellboy': The Seeds of Creation,3.1
"'Human' Factor, The (Human Factor, The)",2.1
'Master Harold' ... And the Boys,4.5
'Master Harold'... and the Boys,4.0
'Neath Brooklyn Bridge,3.5
'Neath the Arizona Skies,2.2
'Pimpernel' Smith,3.1
'R Xmas,2.7
'Round Midnight,3.6
'Salem's Lot,3.1
'Til Death Do Us Part,1.5
'Til Death Do Us Part Kourtney & Travis,1.8
'Til Kingdom Come,3.5
'Til Madness Do Us Part,2.9
'Til There Was You,2.9
'Tis the Season for Love,2.7
'Tis the Season to be Merry,5.0
'Twas the Fight Before Christmas,2.1
'Twas the Night,2.4
'Twas the Night Before Christmas,3.3
"'burbs, The",3.1
'night Mother,3.5
(),1.0
(500) Days of Summer,3.7
(A)sexual,3.0
(Blooper) Bunny!,4.0
(Dis)Honesty: The Truth About Lies,3.8
(Girl)Friend,2.5
(My) Truth: The Rape of 2 Coreys,0.5
(Nie)znajomi,4.0
(OO),3.2
(T)ERROR,3.5
(The New) War of the Buttons,2.9
(UN)Ideal Man,2.7
(Untitled),3.4
(nostalgia),3.8
*batteries not included,3.3
+1,2.9
...All the Marbles,2.5
...And God Spoke,3.0
...And Justice for All,3.6
...And Your Name Is Jonah,2.8
...And the Earth Did Not Swallow Him,3.0
"...And the Third Year, He Resuscitated",3.0
...E fuori nevica!,3.0
...First Do No Harm,2.5
...No Lies,4.5
...One Third of a Nation...,3.0
...So Goes the Nation,3.5
