Toy Story,3.9
Jumanji,3.3
Grumpier Old Men,3.2
Waiting to Exhale,2.9
Father of the Bride Part II,3.1
Heat,3.9
Sabrina,3.4
Tom and Huck,3.1
Sudden Death,3.0
GoldenEye,3.4
"American President, The",3.7
Dracula: Dead and Loving It,2.7
Balto,3.4
Nixon,3.4
Cutthroat Island,2.7
Casino,3.8
Sense and Sensibility,3.9
Four Rooms,3.4
Ace Ventura: When Nature Calls,2.7
Money Train,2.9
Get Shorty,3.6
Copycat,3.3
Assassins,3.2
Powder,3.2
Leaving Las Vegas,3.7
Othello,3.6
Now and Then,3.4
Persuasion,4.0
"City of Lost Children, The (Cité des enfants perdus, La)",3.9
Shanghai Triad (Yao a yao yao dao waipo qiao),3.6
Dangerous Minds,3.2
Twelve Monkeys (a.k.a. 12 Monkeys),3.9
Wings of Courage,3.1
Babe,3.6
Carrington,3.5
Dead Man Walking,3.9
Across the Sea of Time,3.0
It Takes Two,2.9
Clueless,3.4
"Cry, the Beloved Country",3.7
Richard III,3.8
Dead Presidents,3.1
Restoration,3.5
Mortal Kombat,2.6
To Die For,3.4
How to Make an American Quilt,3.3
Seven (a.k.a. Se7en),4.1
Pocahontas,3.0
When Night Is Falling,3.6
"Usual Suspects, The",4.3
Guardian Angel,2.6
Mighty Aphrodite,3.5
Lamerica,3.7
"Big Green, The",2.8
Georgia,3.2
Kids of the Round Table,2.1
Home for the Holidays,3.3
"Postman, The (Postino, Il)",4.0
"Confessional, The (Confessionnal, Le)",3.6
"Indian in the Cupboard, The",3.1
Eye for an Eye,3.3
Mr. Holland's Opus,3.7
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,3.1
Two if by Sea,2.8
Bio-Dome,2.4
Lawnmower Man 2: Beyond Cyberspace,2.2
Two Bits,3.3
French Twist (Gazon maudit),3.5
Friday,3.6
From Dusk Till Dawn,3.3
Fair Game,2.3
Kicking and Screaming,3.5
"Misérables, Les",3.8
Bed of Roses,3.3
Big Bully,2.4
Screamers,3.0
Nico Icon,3.4
"Crossing Guard, The",3.2
"Juror, The",3.2
"White Balloon, The (Badkonake sefid)",3.7
Things to Do in Denver When You're Dead,3.3
Antonia's Line (Antonia),4.0
Once Upon a Time... When We Were Colored,3.6
Last Summer in the Hamptons,3.4
Angels and Insects,3.5
White Squall,3.5
Dunston Checks In,2.4
Black Sheep,3.1
Nick of Time,3.1
The Journey of August King,3.3
Mary Reilly,2.8
Vampire in Brooklyn,2.5
Beautiful Girls,3.5
Broken Arrow,3.1
In the Bleak Midwinter,3.7
"Hate (Haine, La)",4.0
Shopping,2.7
Heidi Fleiss: Hollywood Madam,3.1
City Hall,3.2
Bottle Rocket,3.8
Mr. Wrong,2.4
Unforgettable,3.3
Happy Gilmore,3.4
"Bridges of Madison County, The",3.3
Nobody Loves Me (Keiner liebt mich),3.4
Muppet Treasure Island,3.2
Catwalk,3.1
Headless Body in Topless Bar,2.3
Braveheart,4.0
Taxi Driver,4.1
Rumble in the Bronx (Hont faan kui),3.4
Before and After,3.1
Margaret's Museum,3.6
"Happiness Is in the Field (Bonheur est dans le pré, Le)",3.4
Anne Frank Remembered,3.9
"Young Poisoner's Handbook, The",3.6
If Lucy Fell,3.0
"Steal Big, Steal Little",2.8
Race the Sun,2.9
"Boys of St. Vincent, The",3.7
Boomerang,2.9
Chungking Express (Chung Hing sam lam),4.0
"Star Maker, The (Uomo delle stelle, L')",3.5
Flirting With Disaster,3.7
"NeverEnding Story III, The",2.3
"Silences of the Palace, The (Saimt el Qusur)",3.3
Jupiter's Wife,3.5
Pie in the Sky,3.2
Angela,3.2
Frankie Starlight,3.3
Jade,2.8
Nueba Yol,2.5
Sonic Outlaws,3.6
Down Periscope,3.0
From the Journals of Jean Seberg,3.6
Man of the Year,3.3
"Neon Bible, The",3.3
Target,3.1
Up Close and Personal,3.3
"Birdcage, The",3.5
Shadows (Cienie),3.1
Gospa,2.2
"Brothers McMullen, The",3.5
Bad Boys,3.3
"Amazing Panda Adventure, The",2.9
"Basketball Diaries, The",3.6
"Awfully Big Adventure, An",2.9
Amateur,3.7
Apollo 13,3.9
Rob Roy,3.5
"Addiction, The",3.1
Batman Forever,2.9
Beauty of the Day (Belle de jour),3.8
Beyond Rangoon,3.4
Blue in the Face,3.5
Canadian Bacon,2.8
Casper,2.9
Clockers,3.4
Congo,2.6
Crimson Tide,3.7
Crumb,4.0
Desperado,3.4
Devil in a Blue Dress,3.5
